LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,LITRES/CAPITA,Flag Codes,DATE_CORRECTED
DNK,ALCOHOL,TOT,LT_CAP15,A,1973,11.7,D,1/1/1973
DNK,ALCOHOL,TOT,LT_CAP15,A,1974,11.4,D,1/1/1974
DNK,ALCOHOL,TOT,LT_CAP15,A,1975,12.3,D,1/1/1975
DNK,ALCOHOL,TOT,LT_CAP15,A,1976,12.7,D,1/1/1976
DNK,ALCOHOL,TOT,LT_CAP15,A,1977,12.3,D,1/1/1977
DNK,ALCOHOL,TOT,LT_CAP15,A,1978,11.7,D,1/1/1978
DNK,ALCOHOL,TOT,LT_CAP15,A,1979,12.3,D,1/1/1979
DNK,ALCOHOL,TOT,LT_CAP15,A,1980,12.4,D,1/1/1980
DNK,ALCOHOL,TOT,LT_CAP15,A,1981,12.9,D,1/1/1981
DNK,ALCOHOL,TOT,LT_CAP15,A,1982,13.3,D,1/1/1982
DNK,ALCOHOL,TOT,LT_CAP15,A,1983,13.7,D,1/1/1983
DNK,ALCOHOL,TOT,LT_CAP15,A,1984,13,D,1/1/1984
DNK,ALCOHOL,TOT,LT_CAP15,A,1985,13.1,D,1/1/1985
DNK,ALCOHOL,TOT,LT_CAP15,A,1986,12.8,D,1/1/1986
DNK,ALCOHOL,TOT,LT_CAP15,A,1987,12.5,D,1/1/1987
DNK,ALCOHOL,TOT,LT_CAP15,A,1988,12.5,D,1/1/1988
DNK,ALCOHOL,TOT,LT_CAP15,A,1989,12.2,D,1/1/1989
DNK,ALCOHOL,TOT,LT_CAP15,A,1990,12.3,D,1/1/1990
DNK,ALCOHOL,TOT,LT_CAP15,A,1991,12.2,D,1/1/1991
DNK,ALCOHOL,TOT,LT_CAP15,A,1992,12.5,D,1/1/1992
DNK,ALCOHOL,TOT,LT_CAP15,A,1993,12.3,D,1/1/1993
DNK,ALCOHOL,TOT,LT_CAP15,A,1994,12.5,D,1/1/1994
DNK,ALCOHOL,TOT,LT_CAP15,A,1995,12.7,D,1/1/1995
DNK,ALCOHOL,TOT,LT_CAP15,A,1996,12.7,D,1/1/1996
DNK,ALCOHOL,TOT,LT_CAP15,A,1997,12.6,D,1/1/1997
DNK,ALCOHOL,TOT,LT_CAP15,A,1998,12.1,D,1/1/1998
DNK,ALCOHOL,TOT,LT_CAP15,A,1999,12.1,D,1/1/1999
DNK,ALCOHOL,TOT,LT_CAP15,A,2000,12.2,D,1/1/2000
DNK,ALCOHOL,TOT,LT_CAP15,A,2001,12,D,1/1/2001
DNK,ALCOHOL,TOT,LT_CAP15,A,2002,11.8,D,1/1/2002
DNK,ALCOHOL,TOT,LT_CAP15,A,2003,12,D,1/1/2003
DNK,ALCOHOL,TOT,LT_CAP15,A,2004,11.8,D,1/1/2004
DNK,ALCOHOL,TOT,LT_CAP15,A,2005,11.8,D,1/1/2005
DNK,ALCOHOL,TOT,LT_CAP15,A,2006,11.6,D,1/1/2006
DNK,ALCOHOL,TOT,LT_CAP15,A,2007,11.6,D,1/1/2007
DNK,ALCOHOL,TOT,LT_CAP15,A,2008,11.3,D,1/1/2008
DNK,ALCOHOL,TOT,LT_CAP15,A,2009,10.6,D,1/1/2009
DNK,ALCOHOL,TOT,LT_CAP15,A,2010,10.8,D,1/1/2010
